"","State.Name","County.FIPS","County.Name","State.FIPS","Primary.and.Commercial.Airports","Non.Commercial..Civil.Public.Use.Airports.and.Seaplane.base","Non.Commercial..Other.Aerodromes","Number.of.Bridges","X..of.Poor.Condition.Bridges","Number.of.business.establishments","Percent.of.resident.workers.who.commute.by.transit","Number.of.resident.workers.who.work.at.home","Number.of.workers.from.other.counties.who.commute.to.work.in.the.county","Number.of.resident.workers.who.commute.to.work.in.other.counties","Number.of.resident.workers.who.commute.within.county","Number.of.resident.workers","Number.of.residents","Total.Docks","Total.Marinas","Route.miles.of.freight.railroad","X..of.Medium.to.Fair.Condition.Bridges","Route.miles.of.passenger.railroad.and.rail.transit"
"1","Alabama",1067,823.686567164179,1,0.0895522388059701,1.16417910447761,3.40298507462687,240.746268656716,0.0474778204179104,1491.37313432836,0.00273180301492537,880.373134328358,8229.31343283582,6849.28358208955,21833.8059701493,30074.0298507463,72255.8955223881,1.29850746268657,0,51.165671641791,0.95252217958209,4.08358208955224
"2","Alaska",2149.65517241379,971.827586206897,2,1.96551724137931,10.7241379310345,13.5862068965517,35.4827586206897,0.0826754740344828,729.689655172414,0.0107323268965517,571.379310344828,903.862068965517,859.689655172414,11503.9655172414,12413.4482758621,25408.7931034483,6.86206896551724,0,20.1068965517241,0.641462457,18.048275862069
"3","Arizona",4013.86666666667,995.2,4,0.333333333333333,4.4,15.1333333333333,552.933333333333,0.0288261426,9509.26666666667,0.00941156513333333,10805.6666666667,11090.0666666667,8090,178256.333333333,189540.333333333,448572,0,0,134.306666666667,0.9711738574,58.9666666666667
"4","Arkansas",5075,924.973333333333,5,0.106666666666667,1.10666666666667,2.84,171.893333333333,0.0445943786533333,885.36,0.00293459824,525.933333333333,4211.57333333333,3594.94666666667,12423.5333333333,16639.9333333333,39579.6,0.346666666666667,0,35.4586666666667,0.955405621346667,4.83466666666667
"5","California",6058,1148.77586206897,6,0.431034482758621,3.39655172413793,11.0689655172414,443.706896551724,0.0870903129137931,16209.7586206897,0.0288344393448276,16111.0344827586,51497.4827586207,50318.4137931034,244722.672413793,296443.017241379,666451.551724138,3.39655172413793,0,102.603448275862,0.912909687086207,46.7224137931034
"6","Colorado",8062.234375,874.53125,8,0.1875,0.84375,5.953125,137.28125,0.051668429875,2642.015625,0.01641185253125,2933.59375,14258.578125,13758.8125,27481.328125,41768.90625,83739.0625,0,0,42.8015625,0.948331570125,12.1078125
"7","Connecticut",9008,1161,9,0.25,1.125,14.125,533.75,0.07082260725,11128.75,0.031017292,10130.625,58023.25,43323.75,162046.25,220188.75,448572.5,2.625,0,74.3625,0.92917739275,31.8125
"8","Delaware",10003,1232.66666666667,10,0,1,13.6666666666667,287.666666666667,0.0435454086666667,8386.66666666667,0.0200407806666667,6258.33333333333,31019.3333333333,9976.66666666667,113076.666666667,144141.666666667,311565,3,0,87.4,0.956454591333333,12.6
"9","District of Columbia",11001,494,11,0,0,11,244,0.032786885,23585,0.367694911,18015,85451,0,259790,345735,659010,2,0,31.7,0.967213115,22.5
"10","Florida",12067.9104477612,936.208955223881,12,0.283582089552239,1.40298507462687,11.5223880597015,185.55223880597,0.0438503174477612,8299.55223880597,0.0107430568358209,6965.59701492537,24049.4179104478,22584.2388059701,104914.626865672,129101.641791045,297528.880597015,2.41791044776119,0.0298507462686567,46.2671641791045,0.956149682552239,8.9865671641791
"11","Georgia",13161.4905660377,919.220125786164,13,0.0440251572327044,0.60377358490566,2.19496855345912,93.5786163522013,0.0362160953773585,1463.1320754717,0.00551902011320755,1410.11949685535,11563.3144654088,10813.3270440252,16334.8113207547,27915.9433962264,63517.7987421384,0.113207547169811,0,29.740251572327,0.963783904622642,1.97044025157233
"12","Hawaii",15005,864.4,15,2.2,0.8,6.2,227.4,0.067245509,6517.6,0.0269634306,6318.8,1049.6,576,136253,137447,282734,9.2,0,0.84,0.932754491,0.84
"13","Idaho",16044,707.159090909091,16,0.136363636363636,2.65909090909091,3.93181818181818,101.863636363636,0.0763776377045454,1074.02272727273,0.00644684695454545,964.886363636364,3381.93181818182,2485.70454545455,12972.6136363636,16360.4545454545,37170.1136363636,0,0,36.0113636363636,0.923622362295455,3.4
"14","Illinois",17102,974.029411764706,17,0.107843137254902,0.666666666666667,6.31372549019608,262.833333333333,0.081867661,3139.75490196078,0.0105424638921569,2598.97058823529,15818.1568627451,13785.4117647059,43319.0196078431,59152.0098039216,125997.009803922,1.64705882352941,0,75.8460784313725,0.918132339,15.4676470588235
"15","Indiana",18092,1009.46739130435,18,0.0434782608695652,0.902173913043478,4.73913043478261,209.565217391304,0.0649071316413043,1605.61956521739,0.00499347927173913,1136.52173913043,10579.9673913043,8757.39130434783,22354.4565217391,32943.152173913,71625.8695652174,0.358695652173913,0,44.8510869565217,0.935092868358696,6.33260869565217
"16","Iowa",19099,891.828282828283,19,0.0808080808080808,1.03030303030303,1.6969696969697,243.666666666667,0.203804262464646,831,0.00520623197979798,711.818181818182,3804.50505050505,3055.77777777778,11957.4747474747,15758.7373737374,31379.6464646465,0.404040404040404,0,40.789898989899,0.796195737535354,3.17474747474747
"17","Kansas",20105,970.685714285714,20,0.0666666666666667,1.07619047619048,2.39047619047619,237.2,0.0478804936761905,709.104761904762,0.00240312239047619,554.761904761905,3228.99047619048,2247.3619047619,10130.7142857143,13358.619047619,27602.9047619048,0,0,44.4409523809524,0.952119506323809,4.52190476190476
"18","Kentucky",21120,876.75,21,0.0416666666666667,0.475,1.68333333333333,119.733333333333,0.0701840044166667,755.383333333333,0.00438654194166667,513.366666666667,4965.39166666667,3949.49166666667,10750.2083333333,15721.8333333333,36766.2916666667,0.516666666666667,0,23.7608333333333,0.929815995583333,1.95583333333333
"19","Louisiana",22064,1014.59375,22,0.109375,0.984375,6.578125,201.546875,0.1346551838125,1657.171875,0.005455419109375,825.3125,9485.4375,8843.203125,21685.859375,31212.734375,72588.828125,7.671875,0,43.828125,0.8653448161875,6.55625
"20","Maine",23016,1060.8125,23,0.375,2.4375,10.3125,154.5625,0.144676408375,2582.75,0.0037611785,2187.5,9112.625,7483.4375,30807.8125,39944.0625,83120.625,1.75,0,68.14375,0.855323591625,4.7625
"21","Maryland",24044.9583333333,829.333333333333,24,0.125,0.541666666666667,8.41666666666667,222.833333333333,0.059110246125,5785.95833333333,0.0391159936666667,5420.83333333333,57534.25,36690.0416666667,66345,123938.333333333,248328.75,1.75,0,38.9416666666667,0.940889753875,9.54583333333333
"22","Massachusetts",25014,846.357142857143,25,0.5,1.35714285714286,14.1428571428571,372.5,0.0767784579285714,12797.5714285714,0.0637685462142857,11314.2857142857,84076.3571428571,74592.9285714286,158638.571428571,242842.5,481581.785714286,3.42857142857143,0,80.1785714285714,0.923221542071429,41.4
"23","Michigan",26083,863.771084337349,26,0.180722891566265,1.3855421686747,4.27710843373494,135.277108433735,0.10577261360241,2672.96385542169,0.00716496428915663,1964.33734939759,15999.3734939759,15035.4698795181,36467.7710843373,52488.0722891566,119392.831325301,0.493975903614458,0,44.6698795180723,0.89422738639759,6.59036144578313
"24","Minnesota",27087,1010.10344827586,27,0.103448275862069,1.51724137931034,3.75862068965517,153.540229885057,0.0494966638505747,1737.68965517241,0.0106590894137931,1728.67816091954,11791.0114942529,10978.4712643678,20547.1264367816,32323.5632183908,62653.6206896552,0.459770114942529,0,50.5068965517241,0.950503336149425,5.02413793103448
"25","Mississippi",28082,1017.32926829268,28,0.0853658536585366,0.817073170731707,1.95121951219512,208.182926829268,0.097361501902439,718.621951219512,0.00432522593902439,318.5,5264.35365853659,4061.06097560976,9336.70731707317,14620.6097560976,36453.7804878049,0.597560975609756,0,30.0951219512195,0.902638498097561,6.71341463414634
"26","Missouri",29117.7130434783,941.739130434783,29,0.0608695652173913,0.88695652173913,3.43478260869565,213.147826086957,0.0899150984173913,1306.73913043478,0.00445591957391304,1115.39130434783,8434.97391304348,7045.91304347826,15941.9565217391,24379.0434782609,52692.5652173913,0.478260869565217,0,34.4773913043478,0.910084901582609,6.01652173913044
"27","Montana",30056,1010.875,30,0.214285714285714,1.91071428571429,3.10714285714286,94.0178571428571,0.0748659997857143,677.607142857143,0.00656832519642857,546.428571428571,790.892857142857,635.107142857143,7847.5,8641.07142857143,18274.9107142857,0,0,58.3375,0.925134000214286,12.5410714285714
"28","Nebraska",31093,882.41935483871,31,0.0860215053763441,0.774193548387097,1.78494623655914,165.043010752688,0.0840951543010753,587.268817204301,0.0025450327311828,450.591397849462,2246.18279569892,1955.40860215054,8132.41935483871,10375.6451612903,20228.6021505376,0.043010752688172,0,35.8548387096774,0.883646781182796,4.31397849462366
"29","Nevada",32045.5294117647,925.529411764706,32,0.176470588235294,2.52941176470588,4.88235294117647,114.647058823529,0.0388451674705882,3882.82352941176,0.0323271092941176,2704.41176470588,3990.35294117647,2543.88235294118,71563.2352941177,75613.2352941177,167010.294117647,0,0,78.4058823529412,0.902331303117647,40.6470588235294
"30","New Hampshire",33010,834.1,33,0.3,1.3,16.7,249.4,0.0894886815,3796.9,0.0073198654,4189,24354.7,13674.6,44627,68999.5,132750.5,0.7,0,37.19,0.9105113185,10.89
"31","New Jersey",34021,921.904761904762,34,0.142857142857143,0.80952380952381,14.2857142857143,321.238095238095,0.0840552538095238,11102.0476190476,0.0783327880952381,8335.95238095238,92698.8571428571,64976.6666666667,108814.523809524,201599.285714286,424545.238095238,3.57142857142857,0,62.7,0.915944746190476,22.7571428571429
"32","New Mexico",35030.1515151515,1023.90909090909,35,0.212121212121212,1.66666666666667,3.09090909090909,121.515151515152,0.0658335116363636,1324.57575757576,0.00609289766666667,1243.63636363636,3961.24242424242,3164.24242424242,22455.4545454545,26426.6666666667,63111.0606060606,0,0,66.9242424242424,0.934166488363636,21.3333333333333
"33","New York",36062,1056.37096774194,36,0.290322580645161,0.741935483870968,8.08064516129032,282.596774193548,0.109067180274194,8808.75806451613,0.0654198999032258,5907.5,52542.8870967742,48898.9677419355,94931.2903225807,147546.935483871,317700.967741935,2.04838709677419,0,66.0532258064516,0.890932819725806,27.3435483870968
"34","North Carolina",37100,910.2,37,0.09,0.65,4.11,183.77,0.10154231024,2325.78,0.00465691953,2149.35,12626.28,11514.27,31825.1,44481,99408.55,0.18,0,34.633,0.89845768976,6.808
"35","North Dakota",38053,991.415094339623,38,0.150943396226415,1.52830188679245,3.58490566037736,82.1698113207547,0.0971778052830189,460.698113207547,0.00371179835849057,363.490566037736,1118.7358490566,869.77358490566,6313.67924528302,7431.22641509434,13890,0,0,64.1471698113208,0.902822194716981,7.99056603773585
"36","Ohio",39088,943.465909090909,39,0.0681818181818182,1.14772727272727,6.36363636363636,309.965909090909,0.0569327357613636,2863.625,0.00622280928409091,2242.84090909091,18300.1704545455,16648.8068181818,42148.9772727273,60463.4090909091,131669.829545455,0.75,0,59.4545454545455,0.943067264238636,5.34318181818182
"37","Oklahoma",40077,910.363636363636,40,0.051948051948052,1.48051948051948,4.27272727272727,300.207792207792,0.105503617909091,1210.51948051948,0.00311743628571429,814.805194805195,5685.06493506493,5128.38961038961,16658.5064935065,22345.2597402597,50332.3376623377,0.142857142857143,0,43.0454545454545,0.894496382090909,2.29350649350649
"38","Oregon",41036,973.638888888889,41,0.194444444444444,2.11111111111111,9.38888888888889,226.694444444444,0.0509604474444444,3245.91666666667,0.0117438592777778,3169.72222222222,11399.6944444444,10328.7777777778,38350.4166666667,49781.1111111111,110618.472222222,1.63888888888889,0,67.5555555555556,0.949039552555556,12.7
"39","Pennsylvania",42067,873.179104477612,42,0.194029850746269,0.805970149253731,10.2985074626866,339.358208955224,0.165588500432836,4500.67164179104,0.0160109071641791,3698.28358208955,26030.8358208955,21428.5074626866,62342.1641791045,88392.2388059701,190805.52238806,1.26865671641791,0,73.6358208955224,0.834411499567164,14.434328358209
"40","Rhode Island",44005,1086.2,44,0.6,0.6,3.2,156,0.168059692,5698.4,0.0199367268,3724,38102.8,22031,63717,101892,210899,2.4,0,16.56,0.831940308,9.98
"41","South Carolina",45046,753.869565217391,45,0.0869565217391304,1.15217391304348,3,204.369565217391,0.0850566846956522,2361.39130434783,0.00555745332608696,1656.41304347826,13491.4565217391,11095.3913043478,32490,46006.5217391304,105100,0.41304347826087,0,52.3608695652174,0.914943315304348,12.2152173913043
"42","South Dakota",46067.9545454545,861.136363636364,46,0.0757575757575758,1.04545454545455,1.66666666666667,87.8030303030303,0.165647917515152,407.545454545455,0.00472421789393939,359.090909090909,1347.04545454545,1146.66666666667,5157.19696969697,6500.83333333333,12895,0,0,26.1984848484848,0.819200567333333,0.146969696969697
"43","Tennessee",47095,955.778947368421,47,0.0631578947368421,0.726315789473684,2.75789473684211,212.389473684211,0.0451092161157895,1444.68421052632,0.00293040950526316,1182.21052631579,8604.09473684211,7452.33684210526,21833.0526315789,30451.1052631579,68926.3684210526,0.526315789473684,0,30.1757894736842,0.954890783884211,1.80105263157895
"44","Texas",48254,923.330708661417,48,0.0905511811023622,1.05511811023622,6.85433070866142,213.114173228346,0.0144458776850394,2328.51181102362,0.00361844011417323,2051.02362204724,10865.5275590551,10439.157480315,37250.0196850394,48179.4881889764,106127.559055118,1.46062992125984,0.015748031496063,42.7405511811024,0.973743098692913,6.79803149606299
"45","Utah",49029,1085.03448275862,49,0.241379310344828,1.44827586206897,3.6551724137931,105.551724137931,0.0202958248965517,2747.34482758621,0.00830140503448276,2507.41379310345,8370.1724137931,7840.06896551724,38348.6206896552,46737.2413793103,101670.172413793,0,0,52.7241379310345,0.979704175103448,16.3034482758621
"46","Vermont",50014,920.714285714286,50,0.142857142857143,0.642857142857143,5.42857142857143,198.428571428571,0.0310804208571429,1497.64285714286,0.00736075478571429,1540,5192.07142857143,3699.78571428571,17616.0714285714,22820,44732.5,0,0,39.9571428571429,0.968919579142857,21.5714285714286
"47","Virginia",51263.992481203,910.300751879699,51,0.0676691729323308,0.353383458646617,2.82706766917293,104.676691729323,0.0536118560075188,1512.72180451128,0.0166035070300752,1431.61654135338,15777.1428571429,13095.030075188,14795.9022556391,30593.3834586466,62483.4962406015,0.669172932330827,0,24.6706766917293,0.931350550007519,5.8796992481203
"48","Washington",53039,1002.64102564103,53,0.230769230769231,2.46153846153846,11.0512820512821,212.25641025641,0.0512722556153846,4882.48717948718,0.0198113568974359,4722.94871794872,15887.7948717949,13250.1538461538,68768.8461538462,84755,181363.076923077,4.30769230769231,0,80.8179487179487,0.948727744384615,27.1282051282051
"49","West Virginia",54055,1058.90909090909,54,0.109090909090909,0.4,1.78181818181818,132.163636363636,0.194671054836364,658.036363636364,0.004161756,415.909090909091,4388.45454545455,2778.23636363636,8964.72727272727,13357.3636363636,33565,0.8,0,42.3472727272727,0.805328945163636,6.50909090909091
"50","Wisconsin",55071.0972222222,1013.875,55,0.111111111111111,1.23611111111111,6.20833333333333,198.263888888889,0.0785203138333333,1966.41666666667,0.00620393126388889,1658.40277777778,11213.5833333333,9652.56944444445,28560.2777777778,39762.3611111111,79927.7777777778,0.583333333333333,0,48.1930555555556,0.921479686166667,3.94166666666667
"51","Wyoming",56023,1004.4347826087,56,0.347826086956522,1.39130434782609,3.52173913043478,136.04347826087,0.087556475826087,912.086956521739,0.0155852934347826,603.913043478261,1027.86956521739,702.782608695652,11560.4347826087,12590.8695652174,25349.347826087,0,0,86.3217391304348,0.912443524173913,0
